[7, 2, 0, 0, 0, 10, 22, 17, 20, 22] 70
[0, 0, 0, 0, 10, 20, 19, 17, 10, 24] 56
[4, 3, 0, 17, 4, 17, 0, 15, 20, 20] 64
[2, 0, 7, 18, 0, 13, 18, 18, 4, 20] 84
[0, 4, 4, 0, 19, 13, 19, 13, 9, 19] 70
[0, 0, 5, 19, 0, 5, 21, 7, 21, 22] 61
[2, 2, 2, 4, 2, 16, 11, 18, 21, 22] 145
[0, 9, 2, 2, 3, 18, 6, 20, 20, 20] 75
[2, 2, 0, 4, 2, 17, 17, 19, 18, 19] 65
[0, 0, 5, 11, 3, 18, 3, 18, 18, 24] 71
[0, 1, 10, 0, 15, 0, 17, 19, 21, 17] 60
[7, 5, 3, 11, 13, 14, 9, 2, 18, 18] 64
[0, 2, 0, 4, 6, 19, 18, 20, 20, 11] 71
[0, 0, 0, 4, 20, 20, 0, 18, 16, 22] 124
[7, 0, 2, 16, 4, 8, 20, 18, 4, 21] 66
[2, 4, 2, 19, 8, 6, 2, 19, 17, 21] 77
[5, 2, 2, 5, 0, 21, 9, 19, 16, 21] 73
[0, 2, 0, 2, 18, 18, 13, 11, 16, 20] 78
[2, 0, 5, 9, 11, 18, 10, 9, 18, 18] 60
[0, 8, 10, 8, 2, 11, 8, 19, 15, 19] 68
[0, 6, 0, 6, 0, 19, 20, 13, 17, 19] 79
[2, 0, 0, 0, 15, 10, 15, 17, 17, 24] 141
[0, 7, 9, 4, 0, 13, 2, 22, 23, 20] 119
[0, 0, 7, 4, 4, 7, 17, 19, 22, 20] 129
[2, 0, 4, 10, 4, 10, 17, 15, 19, 19] 102
[0, 0, 0, 2, 5, 10, 17, 24, 20, 22] 164
[13, 5, 0, 3, 0, 3, 13, 18, 21, 24] 114
[10, 5, 2, 2, 0, 15, 8, 22, 18, 18] 100
[1, 0, 19, 2, 4, 7, 18, 19, 11, 19] 107
[2, 2, 5, 5, 2, 0, 19, 19, 21, 25] 115
